gnl|Bakta|BIIICD_00020,Regulation
gnl|Bakta|BIIICD_00025,Regulation
gnl|Bakta|BIIICD_00030,Translocation
gnl|Bakta|BIIICD_00035,Translocation
gnl|Bakta|BIIICD_00040,Transferase
gnl|Bakta|BIIICD_00045,Transferase
gnl|Bakta|BIIICD_00050,Transferase
gnl|Bakta|BIIICD_00055,Transferase
gnl|Bakta|BIIICD_00060,Transferase
gnl|Bakta|BIIICD_00065,Polymerase
gnl|Bakta|BIIICD_00070,Transferase
gnl|Bakta|BIIICD_00080,Flippase
gnl|Bakta|BIIICD_00085,Mannose
gnl|Bakta|BIIICD_00090,Transferase
gnl|Bakta|BIIICD_00095,Rhamnose
gnl|Bakta|BIIICD_00100,Rhamnose
gnl|Bakta|BIIICD_00105,Rhamnose
gnl|Bakta|BIIICD_00110,Rhamnose
