gnl|Bakta|EDMFGH_00015,Regulation
gnl|Bakta|EDMFGH_00020,Regulation
gnl|Bakta|EDMFGH_00025,Translocation
gnl|Bakta|EDMFGH_00030,Translocation
gnl|Bakta|EDMFGH_00035,Transferase
gnl|Bakta|EDMFGH_00040,Transferase
gnl|Bakta|EDMFGH_00045,Polymerase
gnl|Bakta|EDMFGH_00050,Transferase
gnl|Bakta|EDMFGH_00055,Transferase
gnl|Bakta|EDMFGH_00060,Transferase
gnl|Bakta|EDMFGH_00065,Transferase
gnl|Bakta|EDMFGH_00070,Transferase
gnl|Bakta|EDMFGH_00075,Flippase
gnl|Bakta|EDMFGH_00080,UDP-galactopyranose_mutase
